group,bin_mid,norm_density
combined,52.8,0.01803125
fish-only,48,0.0078125
combined,52.8,0.0101875
fish-only,48,0.0019375
combined,52.8,0.0021875
fish-only,48,0.0048125
combined,52.8,0.005625
fish-only,48,0.0025625
combined,52.8,0.01925
fish-only,48,0.002875
combined,52.8,0.0309375
fish-only,48,0.01434375
combined,52.8,0.0415625
fish-only,48,0.00940625
combined,52.8,0.02646875
fish-only,48,0.00146875
combined,52.8,0.0036875
fish-only,48,0.025
combined,52.8,0.0299375
fish-only,48,0.0085625
combined,52.8,0.00940625
fish-only,48,0.00609375
combined,52.8,0.03059375
fish-only,48,0.00675
combined,52.8,0.00871875
fish-only,48,0.01084375
combined,52.8,0.0121875
fish-only,48,0.017125
combined,52.8,0.01896875
fish-only,48,0.0008125
combined,52.8,0.00347916666666667
fish-only,48,0.0038125
combined,52.8,0.004625
fish-only,48,0.00328125
combined,52.8,0.004125
fish-only,48,0.0151666666666667
combined,52.8,0.0185416666666667
fish-only,48,0.02603125
combined,52.8,0.02875
fish-only,48,0.00446875
combined,52.8,0.00484375
fish-only,48,0.056125
combined,52.8,0.0591875
fish-only,48,0.0101875
combined,52.8,0.03340625
fish-only,48,0.00190625
combined,52.8,0.00534375
fish-only,48,0.00534375
combined,52.8,0.00775
fish-only,48,0.00240625
combined,52.8,0.00353125
fish-only,48,0.0036875
combined,52.8,0.0133125
fish-only,48,0.0026875
combined,52.8,0.0078125
fish-only,48,0.045375
combined,52.8,0.07621875
fish-only,48,0.0055625
combined,52.8,0.0234375
fish-only,48,0.00428125
combined,52.8,0.02109375
fish-only,48,0.00309375
combined,52.8,0.0596875
fish-only,48,0.0014375
combined,52.8,0.027125
fish-only,48,0.00021875
combined,52.8,0.0021875
fish-only,48,0.01525
combined,52.8,0.0313125
fish-only,48,0.01571875
combined,52.8,0.07503125
fish-only,48,0.00159375
combined,52.8,0.02271875
fish-only,48,0.0014375
combined,52.8,0.0068125
fish-only,48,0.00164583333333333
combined,52.8,0.0091875
fish-only,48,0.00075
combined,52.8,0.00075
fish-only,48,0.00133333333333333
combined,52.8,0.00452083333333333
fish-only,48,0.00302083333333333
combined,52.8,0.003875
fish-only,48,0.0039375
combined,52.8,0.0099375
fish-only,48,0.0038125
combined,52.8,0.00858333333333333
fish-only,48,0.003203125
combined,52.8,0.00534375
fish-only,48,0.0049375
combined,52.8,0.01084375
fish-only,48,0.00245833333333333
combined,52.8,0.0038125
fish-only,48,0.00685416666666667
combined,52.8,0.0088125
fish-only,48,0.0020625
combined,52.8,0.0111875
fish-only,48,0.00310416666666667
combined,52.8,0.0031875
fish-only,48,0.00203125
combined,52.8,0.11803125
fish-only,48,0.00175
combined,52.8,0.2335
fish-only,48,0.006125
combined,52.8,0.2088125
fish-only,48,0.003953125
combined,52.8,0.005171875
fish-only,48,0.002875
combined,52.8,0.032625
fish-only,48,0.00428125
combined,52.8,0.01103125
fish-only,48,0.001875
combined,52.8,0.0020625
fish-only,48,0.008
combined,52.8,0.00825
fish-only,48,0.01825
combined,52.8,0.0184375
fish-only,48,0.023015625
combined,52.8,0.02315625
fish-only,48,0.0053125
combined,52.8,0.00575
fish-only,48,0.0065
combined,52.8,0.007125
fish-only,48,0.012375
combined,52.8,0.0139375
fish-only,48,0.0079375
combined,52.8,0.0124375
fish-only,48,0.011875
combined,52.8,0.011875
fish-only,48,0.00585416666666667
combined,52.8,0.00635416666666667
fish-only,48,0.00347916666666667
combined,52.8,0.00989583333333333
fish-only,48,0.012875
combined,52.8,0.0180208333333333
fish-only,48,0.0055
combined,52.8,0.0074375
fish-only,48,0.0165416666666667
combined,52.8,0.0165416666666667
fish-only,48,0.00109375
combined,52.8,0.001265625
fish-only,48,6.25e-05
combined,52.8,0.0171458333333333
fish-only,48,0.00625
combined,52.8,0.03165625
fish-only,48,0.00025
combined,52.8,0.00159375
fish-only,48,0.00590625
combined,52.8,0.0079375
fish-only,48,0.001375
combined,52.8,0.0215625
fish-only,48,0.0006875
combined,52.8,0.00809375
fish-only,48,0.00096875
combined,52.8,0.0223125
fish-only,48,0.00046875
combined,52.8,0.01634375
fish-only,48,0.0005625
combined,52.8,0.0105
fish-only,48,0.0011875
combined,52.8,0.0084375
fish-only,48,0.00025
combined,52.8,0.0185
fish-only,48,0.00021875
combined,52.8,0.01584375
fish-only,48,0.0011875
combined,52.8,0.00353125
fish-only,48,0.0004375
combined,52.8,0.01484375
fish-only,48,0.00196875
combined,52.8,0.0314375
fish-only,48,0.00078125
combined,52.8,0.0073125
fish-only,48,0.00190625
combined,52.8,0.00390625
fish-only,48,0.003625
combined,52.8,0.00440625
fish-only,48,0.0016875
combined,52.8,0.018125
fish-only,48,0.0006875
combined,52.8,0.00275
fish-only,48,0.00684375
combined,52.8,0.00940625
fish-only,48,0.0020625
combined,52.8,0.00784375
fish-only,48,0.0006875
combined,52.8,0.0183958333333333
fish-only,48,0.00740625
combined,52.8,0.01665625
fish-only,48,0.00125
combined,52.8,0.049875
fish-only,48,0.0014375
combined,52.8,0.013625
fish-only,48,0.00221875
combined,52.8,0.00325
fish-only,48,0.00059375
combined,52.8,0.03665625
fish-only,48,0.00096875
combined,52.8,0.063125
fish-only,48,0.00109375
combined,52.8,0.03521875
fish-only,48,0.00078125
combined,52.8,0.0463125
fish-only,48,0.0018125
combined,52.8,0.03246875
fish-only,48,0.0006875
combined,52.8,0.02546875
fish-only,48,0.000770833333333333
combined,52.8,0.01875
fish-only,48,0.0015
combined,52.8,0.02046875
fish-only,48,0.001375
combined,52.8,0.0470625
fish-only,48,0.00096875
combined,52.8,0.0230625
fish-only,48,0.000375
combined,52.8,0.02090625
fish-only,48,0.00328125
combined,52.8,0.02775
fish-only,48,0.0010625
combined,52.8,0.026125
fish-only,48,0.000958333333333333
combined,52.8,0.0184583333333333
fish-only,48,0.0005625
combined,52.8,0.0132916666666667
fish-only,48,0.00158333333333333
combined,52.8,0.0195
fish-only,48,0.00184375
combined,52.8,0.0056875
fish-only,48,0.00102083333333333
combined,52.8,0.0351875
fish-only,48,0.00455208333333333
combined,52.8,0.00508333333333333
fish-only,48,0.002671875
combined,52.8,0.003203125
fish-only,48,0.0053875
combined,52.8,0.0068375
fish-only,48,0.00296875
combined,52.8,0.003125
fish-only,48,0.00595833333333333
combined,52.8,0.00770833333333333
fish-only,48,0.00252083333333333
combined,52.8,0.004125
fish-only,48,0.00509375
combined,52.8,0.01371875
fish-only,48,0.01025
combined,52.8,0.01609375
fish-only,48,0.002625
combined,52.8,0.00275
fish-only,48,0.0208125
combined,52.8,0.02146875
fish-only,48,0.004875
combined,52.8,0.035375
fish-only,48,0.00834375
combined,52.8,0.0235625
fish-only,48,0.00121875
combined,52.8,0.00259375
fish-only,48,0.002203125
combined,52.8,0.0219765625
fish-only,48,0.052
combined,52.8,0.059578125
fish-only,48,0.00114583333333333
combined,52.8,0.0128541666666667
fish-only,48,0.0138
combined,52.8,0.0304
fish-only,48,0.0063125
combined,52.8,0.029765625
fish-only,48,0.0700625
combined,52.8,0.077125
fish-only,48,0.000375
combined,52.8,0.00175
fish-only,48,0.026859375
combined,52.8,0.037453125
fish-only,48,0.03428125
combined,52.8,0.03915625
fish-only,48,0.0660833333333333
combined,52.8,0.0886666666666667
