log_lmax,L_mean_log,class
2.30258509299405,2.00029121716411,Echinoidea
2.77258872223978,1.70723483415495,Echinoidea
2.56494935746154,1.6094379124341,Echinoidea
4.13150271018903,3.03921526775772,Cephalopoda
1.45861502269952,1.78086740522185,Gastropoda
1.09861228866811,0.916290731874155,Malacostraca
3.80666248977032,2.32785224691562,Malacostraca
3.46573590279973,2.98467126751248,Malacostraca
4.0943445622221,1.98394591214651,Malacostraca
1.79175946922806,1.6312146337532,Echinoidea
2.70805020110221,2.23632904024455,Echinoidea
2.70805020110221,2.0570472268054,Echinoidea
1.6094379124341,0.916290731874155,Gastropoda
3.25809653802148,2.75889254657412,Gastropoda
2.99573227355399,0.916290731874155,Asteroidea
3.7387458787341,2.18966947111929,Holothuroidea
3.40119738166216,1.16386018627581,Holothuroidea
3.2188758248682,0.916290731874155,Holothuroidea
2.12026353620009,1.74459294847016,Gastropoda
2.01490302054226,1.51041688663982,Gastropoda
2.83321334405622,3.01257704283504,Holothuroidea
3.78418963391826,0.916290731874155,Crinoidea
1.6094379124341,1.87974798450621,Gastropoda
4.0943445622221,1.70230923762137,Crinoidea
1.50407739677627,0.916290731874155,Gastropoda
1.1314021114911,0.916290731874155,Gastropoda
2.24789422050365,2.00482935326007,Gastropoda
3.2188758248682,2.35387495040454,Gastropoda
3.2188758248682,2.50531764704813,Gastropoda
1.79175946922806,1.87974798450621,Gastropoda
0.916290731874155,0.916290731874155,Gastropoda
1.79175946922806,0.916290731874155,Holothuroidea
3.55534806148941,2.87457088050649,Holothuroidea
0.405465108108164,0.916290731874155,Gastropoda
4.0943445622221,2.70805020110221,Malacostraca
3.68887945411394,3.55534806148941,Cephalopoda
3.02042488614436,0.916290731874155,Echinoidea
2.07944154167984,1.1473397920608,Gastropoda
3.04452243772342,2.30258509299405,Crinoidea
2.89037175789616,2.01490302054226,Echinoidea
1.25276296849537,1.1473397920608,Gastropoda
1.25276296849537,0.916290731874155,Gastropoda
3.41361990166071,2.7567777044949,Gastropoda
1.50407739677627,1.26286432215413,Gastropoda
1.50407739677627,0.916290731874155,Gastropoda
1.6094379124341,1.4463444581847,Gastropoda
1.38629436111989,0.916290731874155,Gastropoda
2.12026353620009,1.54813608412087,Gastropoda
