lat_zone,name,value,lat_zone_ordered,name_ordered
Temperate,slope_fish,-1.77126445660986,Temperate,slope_fish
Temperate,slope_comb,-2.0894984657692,Temperate,slope_comb
Temperate,slope_fish,-1.78431181140811,Temperate,slope_fish
Tropical,slope_comb,-2.45275390474813,Tropical,slope_comb
Tropical,slope_fish,-2.42900223834058,Tropical,slope_fish
Tropical,slope_comb,-2.52038731423108,Tropical,slope_comb
Tropical,slope_fish,-2.47516214058091,Tropical,slope_fish
Tropical,slope_comb,-2.42858140347273,Tropical,slope_comb
Tropical,slope_fish,-2.07537946905366,Tropical,slope_fish
Tropical,slope_comb,-2.45219810888343,Tropical,slope_comb
Tropical,slope_fish,-2.3696974821758,Tropical,slope_fish
Tropical,slope_comb,-2.53742112221339,Tropical,slope_comb
Tropical,slope_fish,-2.50069424442731,Tropical,slope_fish
Tropical,slope_comb,-2.39760416538379,Tropical,slope_comb
Tropical,slope_fish,-2.35496410995517,Tropical,slope_fish
Tropical,slope_comb,-2.47456778445317,Tropical,slope_comb
Tropical,slope_fish,-2.45961565722068,Tropical,slope_fish
Tropical,slope_comb,-2.41522430900321,Tropical,slope_comb
Tropical,slope_fish,-2.21504641547158,Tropical,slope_fish
Tropical,slope_comb,-2.49044853175385,Tropical,slope_comb
Tropical,slope_fish,-2.39617859968862,Tropical,slope_fish
Tropical,slope_comb,-2.3218920519599,Tropical,slope_comb
Tropical,slope_fish,-2.21665640943996,Tropical,slope_fish
Tropical,slope_comb,-2.4166703610367,Tropical,slope_comb
Tropical,slope_fish,-2.30282217360926,Tropical,slope_fish
Tropical,slope_comb,-2.47110311934538,Tropical,slope_comb
Tropical,slope_fish,-2.31999975525915,Tropical,slope_fish
Tropical,slope_comb,-2.46857846700166,Tropical,slope_comb
Tropical,slope_fish,-2.42122306781342,Tropical,slope_fish
Temperate,slope_comb,-1.97392919526598,Temperate,slope_comb
Temperate,slope_fish,-2.00279770952597,Temperate,slope_fish
Temperate,slope_comb,-2.00081469170673,Temperate,slope_comb
Temperate,slope_fish,-1.98971403796669,Temperate,slope_fish
Temperate,slope_comb,-2.04487719059039,Temperate,slope_comb
Temperate,slope_fish,-1.9638410603062,Temperate,slope_fish
Temperate,slope_comb,-2.00142419451065,Temperate,slope_comb
Temperate,slope_fish,-1.87931731688164,Temperate,slope_fish
Temperate,slope_comb,-1.93657604704757,Temperate,slope_comb
Temperate,slope_fish,-1.91271587485173,Temperate,slope_fish
Temperate,slope_comb,-1.94880016106468,Temperate,slope_comb
Temperate,slope_fish,-1.82149434578198,Temperate,slope_fish
Temperate,slope_comb,-1.86460809330119,Temperate,slope_comb
Temperate,slope_fish,-1.71674439611609,Temperate,slope_fish
Temperate,slope_comb,-2.02207063077383,Temperate,slope_comb
Temperate,slope_fish,-1.94755257181201,Temperate,slope_fish
Temperate,slope_comb,-1.93819772346939,Temperate,slope_comb
Temperate,slope_fish,-1.82599596406942,Temperate,slope_fish
Temperate,slope_comb,-1.85886423825873,Temperate,slope_comb
Temperate,slope_fish,-1.7452228283141,Temperate,slope_fish
Temperate,slope_comb,-1.9361537639705,Temperate,slope_comb
Temperate,slope_fish,-1.84436487794445,Temperate,slope_fish
Temperate,slope_comb,-2.01387573985788,Temperate,slope_comb
Temperate,slope_fish,-1.90276792138766,Temperate,slope_fish
Temperate,slope_comb,-1.91040150815833,Temperate,slope_comb
Temperate,slope_fish,-1.9804920347394,Temperate,slope_fish
Temperate,slope_comb,-2.00594844605924,Temperate,slope_comb
Temperate,slope_fish,-1.99649342615791,Temperate,slope_fish
Temperate,slope_comb,-1.97826761837941,Temperate,slope_comb
Temperate,slope_fish,-1.97384451757254,Temperate,slope_fish
Temperate,slope_comb,-1.99238439091425,Temperate,slope_comb
Temperate,slope_fish,-1.85831228201415,Temperate,slope_fish
Temperate,slope_comb,-2.0559403095515,Temperate,slope_comb
Temperate,slope_fish,-1.98807919999216,Temperate,slope_fish
Temperate,slope_comb,-2.0239361350228,Temperate,slope_comb
Temperate,slope_fish,-1.97316590046505,Temperate,slope_fish
Temperate,slope_comb,-2.06992808708441,Temperate,slope_comb
Temperate,slope_fish,-1.79462471986199,Temperate,slope_fish
Temperate,slope_comb,-1.94026709462499,Temperate,slope_comb
Temperate,slope_fish,-1.93435624285786,Temperate,slope_fish
Temperate,slope_comb,-2.03287632192556,Temperate,slope_comb
Temperate,slope_fish,-2.00486214084517,Temperate,slope_fish
Temperate,slope_comb,-1.85838418127646,Temperate,slope_comb
Temperate,slope_fish,-1.81953371125568,Temperate,slope_fish
Temperate,slope_comb,-2.10188482842398,Temperate,slope_comb
Temperate,slope_fish,-1.88767808176935,Temperate,slope_fish
Tropical,slope_comb,-2.14750129922781,Tropical,slope_comb
Tropical,slope_fish,-2.12313399181761,Tropical,slope_fish
Tropical,slope_comb,-2.26818209468804,Tropical,slope_comb
Tropical,slope_fish,-2.25561845582859,Tropical,slope_fish
Tropical,slope_comb,-2.17712876789381,Tropical,slope_comb
Tropical,slope_fish,-2.11109430976218,Tropical,slope_fish
Tropical,slope_comb,-2.23406491713744,Tropical,slope_comb
Tropical,slope_fish,-2.17858597054427,Tropical,slope_fish
Temperate,slope_comb,-2.18611470730849,Temperate,slope_comb
Temperate,slope_fish,-1.64670512942204,Temperate,slope_fish
Temperate,slope_comb,-2.19840553589502,Temperate,slope_comb
Temperate,slope_fish,-1.768112668956,Temperate,slope_fish
Temperate,slope_comb,-2.09455755509898,Temperate,slope_comb
Temperate,slope_fish,-1.58595124923049,Temperate,slope_fish
Temperate,slope_comb,-2.06232315521398,Temperate,slope_comb
Temperate,slope_fish,-1.57036174606537,Temperate,slope_fish
Temperate,slope_comb,-2.10129785272608,Temperate,slope_comb
Temperate,slope_fish,-1.55486713558738,Temperate,slope_fish
Temperate,slope_comb,-2.12864249413834,Temperate,slope_comb
Temperate,slope_fish,-1.51426473686866,Temperate,slope_fish
Temperate,slope_comb,-2.17437646638153,Temperate,slope_comb
Temperate,slope_fish,-1.69361918283361,Temperate,slope_fish
Temperate,slope_comb,-2.11418017536672,Temperate,slope_comb
Temperate,slope_fish,-1.63824538203035,Temperate,slope_fish
Temperate,slope_comb,-1.65493592021049,Temperate,slope_comb
Temperate,slope_fish,-1.3176091861949,Temperate,slope_fish
Temperate,slope_comb,-1.69526803373392,Temperate,slope_comb
Temperate,slope_fish,,Temperate,slope_fish
Temperate,slope_comb,-1.70120148379913,Temperate,slope_comb
Temperate,slope_fish,,Temperate,slope_fish
Temperate,slope_comb,-1.75246182966967,Temperate,slope_comb
Temperate,slope_fish,-1.30610401498659,Temperate,slope_fish
Temperate,slope_comb,-1.81423365424936,Temperate,slope_comb
Temperate,slope_fish,-1.30039331282485,Temperate,slope_fish
Temperate,slope_comb,-1.60141938644909,Temperate,slope_comb
Temperate,slope_fish,-1.38579908507044,Temperate,slope_fish
Temperate,slope_comb,-2.24244420494617,Temperate,slope_comb
Temperate,slope_fish,-2.09263555966501,Temperate,slope_fish
Temperate,slope_comb,-2.18637718737991,Temperate,slope_comb
Temperate,slope_fish,-2.01983722808416,Temperate,slope_fish
Temperate,slope_comb,-2.28790254777651,Temperate,slope_comb
Temperate,slope_fish,-2.23919834981268,Temperate,slope_fish
Temperate,slope_comb,-2.30562344530336,Temperate,slope_comb
Temperate,slope_fish,-2.05590922718139,Temperate,slope_fish
Temperate,slope_comb,-2.36853081360727,Temperate,slope_comb
Temperate,slope_fish,-2.42626363779362,Temperate,slope_fish
Temperate,slope_comb,-2.29504199970587,Temperate,slope_comb
Temperate,slope_fish,-2.28945652256907,Temperate,slope_fish
Temperate,slope_comb,-2.21007496945808,Temperate,slope_comb
Temperate,slope_fish,-2.04816075401204,Temperate,slope_fish
Temperate,slope_comb,-2.13360033635503,Temperate,slope_comb
Temperate,slope_fish,-1.95275430803384,Temperate,slope_fish
Temperate,slope_comb,-2.24584780715695,Temperate,slope_comb
Temperate,slope_fish,-2.05022402067967,Temperate,slope_fish
Temperate,slope_comb,-2.30952422846495,Temperate,slope_comb
Temperate,slope_fish,-2.22743180634495,Temperate,slope_fish
Temperate,slope_comb,-2.27763051007265,Temperate,slope_comb
Temperate,slope_fish,-2.31084937207151,Temperate,slope_fish
Temperate,slope_comb,-2.24600417039607,Temperate,slope_comb
Temperate,slope_fish,-2.19435157162461,Temperate,slope_fish
Temperate,slope_comb,-2.26718183938668,Temperate,slope_comb
Temperate,slope_fish,-2.24886702785489,Temperate,slope_fish
Temperate,slope_comb,-2.16058837584435,Temperate,slope_comb
Temperate,slope_fish,-2.15013099433594,Temperate,slope_fish
Temperate,slope_comb,-2.32965043556478,Temperate,slope_comb
Temperate,slope_fish,-2.33340582328994,Temperate,slope_fish
Temperate,slope_comb,-2.23250544365256,Temperate,slope_comb
Temperate,slope_fish,-2.26226262096445,Temperate,slope_fish
Temperate,slope_comb,-2.21514151257948,Temperate,slope_comb
Temperate,slope_fish,-2.15703785848941,Temperate,slope_fish
Temperate,slope_comb,-2.2596752404598,Temperate,slope_comb
Temperate,slope_fish,-2.00857463494667,Temperate,slope_fish
Temperate,slope_comb,-2.28105032279721,Temperate,slope_comb
Temperate,slope_fish,-2.19428982783548,Temperate,slope_fish
Temperate,slope_comb,-2.26642011639678,Temperate,slope_comb
Temperate,slope_fish,-2.17180999725833,Temperate,slope_fish
Temperate,slope_comb,-2.23262947935266,Temperate,slope_comb
Temperate,slope_fish,-2.21939662339528,Temperate,slope_fish
Temperate,slope_comb,-2.33396182656098,Temperate,slope_comb
Temperate,slope_fish,-2.34534981578459,Temperate,slope_fish
Temperate,slope_comb,-2.35311405029348,Temperate,slope_comb
