ecoregion,bin_mid,norm_density,fit,ecoregion_trim,site_id
Southern Caribbean,48,0.015875,0.00759529432874998,Southern Caribbean,267
Southern Caribbean,48,0.00325,0.00849469362364258,Southern Caribbean,268
Southern Caribbean,48,0.005375,0.0114484754137438,Southern Caribbean,269
Southern Caribbean,48,0.0054375,0.00781211459323946,Southern Caribbean,270
Southern Caribbean,48,0.0095625,0.0114095694942677,Southern Caribbean,271
Southern Caribbean,48,0.00175,0.00504233513969998,Southern Caribbean,272
Southern Caribbean,48,0.002875,0.00562783072480941,Southern Caribbean,273
Southern Caribbean,48,0.007875,0.00899625891905634,Southern Caribbean,274
Southern Caribbean,48,0.00275,0.00670070257982911,Southern Caribbean,275
Southern Caribbean,48,0.0049375,0.006030216796036,Southern Caribbean,276
Southern Caribbean,48,0.002,0.00435358978261191,Southern Caribbean,277
Southern Caribbean,48,0.0021875,0.00431821367722273,Southern Caribbean,278
Southern Caribbean,48,0.0035,0.00573726574961663,Southern Caribbean,279
Cape Howe,48,0.0141875,0.0489050397654542,Cape Howe,280
Cape Howe,48,0.0200491071428571,0.044489856311426,Cape Howe,281
Cape Howe,48,0.025565625,0.0598128407246768,Cape Howe,282
Cape Howe,48,0.0146875,0.216698819612997,Cape Howe,283
Cape Howe,48,0.022484375,0.0622132928912795,Cape Howe,284
Cape Howe,48,0.029171875,0.246157143343166,Cape Howe,285
Cape Howe,48,0.0105,0.0339601929067586,Cape Howe,286
Cape Howe,48,0.0199985119047619,0.0700811628069808,Cape Howe,287
Cape Howe,48,0.0266145833333333,0.151650141023234,Cape Howe,288
Cape Howe,48,0.029546875,0.0864412886838959,Cape Howe,289
Cape Howe,48,0.0126875,0.0369082565395992,Cape Howe,290
Cape Howe,48,0.033796875,0.0560319187334589,Cape Howe,291
Cape Howe,48,0.001125,0.0227401142467053,Cape Howe,292
Cape Howe,48,0.0063125,0.0326626205380878,Cape Howe,293
Eastern Brazil,48,0.00328125,0.00549197356990936,Eastern Brazil,294
Eastern Brazil,48,0.0069375,0.00932007232034137,Eastern Brazil,295
